company,site,fab,room_label,node,domain,capacity_kind,aggregation_eligible,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,2029-Q1,2029-Q2,2029-Q3,2029-Q4,2030-Q1,2030-Q2,2030-Q3,2030-Q4,2031-Q1,2031-Q2,2031-Q3,2031-Q4,2032-Q1,2032-Q2,2032-Q3,2032-Q4,2033-Q1,2033-Q2,2033-Q3,2033-Q4
CXMT,Beijing,Beijing Fab,C1,DRAM mix (node shares unallocated),dram,production,True,22500,25000,27500,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
CXMT,Beijing,Beijing Fab,C2,DRAM mix (node shares unallocated),dram,production,True,27500,35000,42500,50000,50000,50000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,,,,,,,,,,,,
CXMT,Hefei,Innotron,Fab A,DRAM node mix unresolved,dram,production,True,,,,,,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,,,,,,,,,,,
CXMT,Hefei,Innotron,Fab A,DRAM node mix unresolved,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Hefei,Innotron,Fab C,DRAM node mix unresolved,dram,production,True,,,,,,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,,,,,,,,,,,
CXMT,Hefei,Innotron,Fab C,DRAM node mix unresolved,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 1,Planned DRAM; node mix undisclosed,dram,production,True,0,0,0,0,0,0,0,0,5000,15000,35000,60000,80000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 1,Planned DRAM; node mix undisclosed,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 2,Planned DRAM; node mix undisclosed,dram,production,True,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 2,Planned DRAM; node mix undisclosed,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 3,Planned DRAM; node mix undisclosed,dram,production,True,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXMT,Shanghai,Shanghai,Phase 3,Planned DRAM; node mix undisclosed,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Leixlip,Fab 34,Module 1,Intel 3 (Intel 4 mix unallocated),logic,nameplate,True,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
Intel,Leixlip,Fab 34,Module 2,Intel 3 (Intel 4 mix unallocated),logic,nameplate,True,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
